"name","gps","address","type","phone","website","ratingsAverage","ratingsTotal","plusCode","googleUrl","originalUrl"
"Kebab O Belge Rouen","49.4445248,1.0852926","61 Bd des Belges, 76000 Rouen, France","Kebab shop","+33 9 52 87 89 49",,3.5,549,"C3VP+R4 Rouen, France","https://maps.google.com/maps?q=+%4049.4445248,1.0852926","https://www.google.com/maps/place/Kebab+O+Belge+Rouen/data=!4m2!3m1!1s0x47e0dddedc1678d9:0xb653ec516ed0d5e7"
"Paris Istanbul Kebab","49.4134862,1.1375839","140 Rte de Paris, 76240 Le Mesnil-Esnard, France","Fast food restaurant","+33 9 83 86 08 83","https://kebab-paris-istambul.eatbu.com/",4.5,587,"C47Q+92 Le Mesnil-Esnard, France","https://maps.google.com/maps?q=+%4049.4134862,1.1375839","https://www.google.com/maps/place/Kebab+Paris+Istanbul/data=!4m2!3m1!1s0x47e0decf0f5c2f4d:0xba08e3c49d5bbd14"
"Kebab Saint Marc","49.4379535,1.1003587","Pl. Saint-Marc, 76000 Rouen, France","Kebab shop","+33 2 35 15 17 58","http://www.facebook.com/Kebab-Saint-Marc-2135599153383616/",3.8,495,"C4Q2+54 Rouen, France","https://maps.google.com/maps?q=+%4049.4379535,1.1003587","https://www.google.com/maps/place/Kebab+Saint+Marc/data=!4m2!3m1!1s0x47e0de7e37ba988b:0x9c37157ced22b99a"
"Kebab du Cailly","49.4635006,1.0464377","2 Rue du Petit Aulnay, 76250 Déville-lès-Rouen, France","Fast food restaurant","+33 2 32 93 50 87",,3.9,244,"F27W+CH Déville-lès-Rouen, France","https://maps.google.com/maps?q=+%4049.4635006,1.0464377","https://www.google.com/maps/place/Kebab+du+Cailly/data=!4m2!3m1!1s0x47e0e7683fed1611:0x666d1a4a5033a174"
"L'Orient Express","49.4336521,1.0925028","4 Pl. Carnot, 76100 Rouen, France","Restaurant","+33 2 35 89 83 49","https://lorientexpress.eatbu.com/?lang=fr",4.5,,"C3MV+F2 Rouen, France","https://maps.google.com/maps?q=+%4049.4336521,1.0925028","https://www.google.com/maps/place/L'Orient+Express/data=!4m2!3m1!1s0x47e0df5376f66489:0x6aa0c74ac6c9bb64"
"LA CASA (spécialité feu de bois)","49.4424836,1.1124816","9 Pl. Saint-Hilaire, 76000 Rouen, France","Restaurant","+33 2 78 08 36 50","https://play.google.com/store/apps/details?id=com.dishop.lacasa",4.4,,"C4R6+XX Rouen, France","https://maps.google.com/maps?q=+%4049.4424836,1.1124816","https://www.google.com/maps/place/LA+CASA+(sp%C3%A9cialit%C3%A9+feu+de+bois)/data=!4m2!3m1!1s0x47e0ddb542b33b31:0x38edbaee984eeaab"
"LE CASS'DAL","49.4479238,1.0995156","199 Rue Beauvoisine, 76000 Rouen, France","Kebab shop","+33 2 35 71 69 87",,4.6,369,"C3XX+5R Rouen, France","https://maps.google.com/maps?q=+%4049.4479238,1.0995156","https://www.google.com/maps/place/LE+CASS'DAL/data=!4m2!3m1!1s0x47e0ddd3bc4d0fb9:0x1d4845ab645a2f8c"
"La Seine","49.4377751,1.1005149","27 Rue Armand Carrel, 76000 Rouen, France","Restaurant","+33 2 35 62 04 03","https://laseine-rouen.com/",4.6,589,"C4Q2+46 Rouen, France","https://maps.google.com/maps?q=+%4049.4377751,1.1005149","https://www.google.com/maps/place/La+Seine/data=!4m2!3m1!1s0x47e0de7e5c676005:0x95d18153633c258d"
"La Strada. Kebab..tacos..burger..","49.4486227,1.1001564","24 Pl. Beauvoisine, 76000 Rouen, France","Kebab shop","+33 2 35 72 77 45",,4.1,,"C4X2+C3 Rouen, France","https://maps.google.com/maps?q=+%4049.4486227,1.1001564","https://www.google.com/maps/place/La+Strada.+Kebab..tacos..burger../data=!4m2!3m1!1s0x47e0ddd3a841bf95:0xf7e4bab7d8d6c09c"
"Le 88","49.4421871,1.1035463","86 Rue St Vivien, 76000 Rouen, France","Restaurant","+33 9 81 71 18 09",,3.2,,"C4R3+VC Rouen, France","https://maps.google.com/maps?q=+%4049.4421871,1.1035463","https://www.google.com/maps/place/Le+88/data=!4m2!3m1!1s0x47e0dc2ab1ab527b:0x5249fa158d2ca1c8"
"Le Bysance","49.4422522,1.0966694","32 Pl. des Carmes, 76000 Rouen, France","Turkish restaurant","+33 2 35 14 95 12",,4.3,149,"C3RW+WM Rouen, France","https://maps.google.com/maps?q=+%4049.4422522,1.0966694","https://www.google.com/maps/place/Le+Bysance/data=!4m2!3m1!1s0x47e0ddd611a747b5:0x67770aa03e46f9d4"
"Le Flaubert","49.4534322,1.1224297","28 Rue du Dr Voranger, 76420 Bihorel, France","Halal restaurant","+33 9 51 63 37 58","https://delicity.com/le-flaubert-rouen",4,66,"F43C+9X Bihorel, France","https://maps.google.com/maps?q=+%4049.4534322,1.1224297","https://www.google.com/maps/place/Le+Flaubert/data=!4m2!3m1!1s0x47e0dd96860a0a55:0xb61816478e4aa86f"
"Le Mistral","49.4368154,1.0868468","2 Quai Cavelier de la Salle, 76100 Rouen, France","Restaurant","+33 6 66 05 07 90",,4.9,151,"C3PP+PP Rouen, France","https://maps.google.com/maps?q=+%4049.4368154,1.0868468","https://www.google.com/maps/place/Le+Mistral/data=!4m2!3m1!1s0x47e0de76b195e181:0x8d72308f6adfbd65"
"Le Safir Kebab","49.4424688,1.107209","132 Rue Saint-Hilaire, 76000 Rouen, France","Kebab shop","+33 2 35 98 32 22","https://safir-132-rouen.eatbu.com/",3.8,181,"C4R4+XV Rouen, France","https://maps.google.com/maps?q=+%4049.4424688,1.107209","https://www.google.com/maps/place/Le+Safir+Kebab/data=!4m2!3m1!1s0x47e0dc29cc09ce6f:0x9143a6caa431aab4"
"Le Soleil Du Maghreb","49.4398902,1.090924","92 Rue du Général Leclerc, 76000 Rouen, France","Kebab shop","+33 2 35 70 39 67",,3.9,873,"C3QR+X9 Rouen, France","https://maps.google.com/maps?q=+%4049.4398902,1.090924","https://www.google.com/maps/place/Le+Soleil+Du+Maghreb/data=!4m2!3m1!1s0x47e0de779229f46f:0x20a74721d15933bf"
"Le Soleil du Maghreb - Saint Sever","49.4315035,1.0872317","57 Rue Pavée, 76100 Rouen, France","Kebab shop","+33 2 35 62 12 62","https://lesoleildumaghreb-saintsever.fr/",4.1,490,"C3JP+JV Rouen, France","https://maps.google.com/maps?q=+%4049.4315035,1.0872317","https://www.google.com/maps/place/Le+Soleil+du+Maghreb+-+Saint+Sever/data=!4m2!3m1!1s0x47e0dfa2f1d96a3b:0x1dafa3570c917b33"
"Le mag","49.4317466,1.08726","121 Rue Saint-Sever, 76100 Rouen, France","Fast food restaurant","+33 2 35 00 30 30",,3.3,126,"C3JP+MW Rouen, France","https://maps.google.com/maps?q=+%4049.4317466,1.08726","https://www.google.com/maps/place/Le+mag/data=!4m2!3m1!1s0x47e0df33f466d4fd:0xe606ea5873c4dc19"
"Le palmier","49.4455727,1.0867359","87bis Rue Jean Lecanuet, 76000 Rouen, France","Fast food restaurant","+33 2 77 58 05 42",,4.1,355,"C3WP+6M Rouen, France","https://maps.google.com/maps?q=+%4049.4455727,1.0867359","https://www.google.com/maps/place/Le+palmier/data=!4m2!3m1!1s0x47e0ddc71075c1fd:0xeaf81539ccb5f5ea"
"Les Andalouses","49.4406526,1.0888968","22 Rue du Général Giraud, 76000 Rouen, France","Kebab shop","+33 2 35 07 06 06",,3.4,131,"C3RQ+7H Rouen, France","https://maps.google.com/maps?q=+%4049.4406526,1.0888968","https://www.google.com/maps/place/Les+Andalouses/data=!4m2!3m1!1s0x47e0de7633175afb:0x19d74fa5996777"
"MC Döner","49.4316422,1.0867419","136 Rue Saint-Sever, 76100 Rouen, France","Restaurant","+33 9 87 16 04 19",,4.3,,"C3JP+MM Rouen, France","https://maps.google.com/maps?q=+%4049.4316422,1.0867419","https://www.google.com/maps/place/MC+D%C3%B6ner/data=!4m2!3m1!1s0x47e0de71e3ff4c0d:0xce91bd657909f5b0"
"Mogador kebab","49.4416852,1.0977738","8 Rue de la Chaîne, 76000 Rouen, France","Restaurant","+33 2 35 07 70 34",,4.5,,"C3RX+M4 Rouen, France","https://maps.google.com/maps?q=+%4049.4416852,1.0977738","https://www.google.com/maps/place/Mogador+kebab/data=!4m2!3m1!1s0x47e0ddbc29ac8695:0x9d056141f04ec5eb"
"München Kebab","49.4385898,1.0919194","5 Rue Grand Pont, 76000 Rouen, France","Kebab shop","+33 2 35 36 42 99","https://munchen-kebab.eatbu.com/",4.5,,"C3QR+CQ Rouen, France","https://maps.google.com/maps?q=+%4049.4385898,1.0919194","https://www.google.com/maps/place/M%C3%BCnchen+Kebab/data=!4m2!3m1!1s0x47e0df04f568e92b:0x87add9c5219215a9"
"Nasmo Maromme","49.4820063,1.040493","67 Rue des Martyrs de la Résistance, 76150 Maromme, France","Halal restaurant","+33 9 86 72 73 15",,4.3,,"F2JR+R5 Maromme, France","https://maps.google.com/maps?q=+%4049.4820063,1.040493","https://www.google.com/maps/place/Nasmo+Maromme/data=!4m2!3m1!1s0x47e0e77582d6aaab:0xcfc536a10b5c481e"
"New Uludag","49.4424117,1.0887038","18 Pl. de la Pucelle, 76000 Rouen, France","Fast food restaurant","+33 9 50 43 46 54",,4.4,,"C3RQ+XF Rouen, France","https://maps.google.com/maps?q=+%4049.4424117,1.0887038","https://www.google.com/maps/place/New+Uludag/data=!4m2!3m1!1s0x47e0ddd88ebcc899:0x8d94827f2bff56c2"
"Nomad Kebab","49.4161181,1.0352725","2 bis Rue de l'Église, 76120 Le Grand-Quevilly, France","Kebab shop","+33 2 35 68 28 96",,4.6,,"C28P+C4 Le Grand-Quevilly, France","https://maps.google.com/maps?q=+%4049.4161181,1.0352725","https://www.google.com/maps/place/Nomad+Kebab/data=!4m2!3m1!1s0x47e0e0935178c5d3:0x62715dff7fc9a677"
"O Verts Galants","49.4238033,1.0563707","6 Rue Lucien Vallée, 76140 Le Petit-Quevilly, France","Fast food restaurant","+33 2 35 72 32 90","https://www.instagram.com/overtsgalants/",4.3,,"C3F4+GG Le Petit-Quevilly, France","https://maps.google.com/maps?q=+%4049.4238033,1.0563707","https://www.google.com/maps/place/O+Verts+Galants/data=!4m2!3m1!1s0x47e0e0a0603f3e57:0x4b824c14725bd5d4"
"O'delices","49.4491767,1.065218","194b Av. du Mont Riboudet, 76000 Rouen, France","Fast food restaurant","+33 2 35 15 27 26",,3.1,,"C3X8+M3 Rouen, France","https://maps.google.com/maps?q=+%4049.4491767,1.065218","https://www.google.com/maps/place/O'delices/data=!4m2!3m1!1s0x47e0ddfbcc611145:0x60bc21ae39f9bf90"
"OZ FOOD","49.3791726,1.107811","49 Rue Lazare Carnot, 76800 Saint-Étienne-du-Rouvray, France","Kebab shop","+33 9 51 34 24 63","http://ozfood.online/",3.8,,"94H5+M4 Saint-Étienne-du-Rouvray, France","https://maps.google.com/maps?q=+%4049.3791726,1.107811","https://www.google.com/maps/place/OZ+FOOD/data=!4m2!3m1!1s0x47e0df733e6f27f1:0x14645518383a3eb6"
"OZ GRILL","49.4028818,1.0663706","3 Bis Av. des Canadiens, 76800 Saint-Étienne-du-Rouvray, France","Fast food restaurant","+33 6 87 14 77 96",,4.2,,"C338+5G Saint-Étienne-du-Rouvray, France","https://maps.google.com/maps?q=+%4049.4028818,1.0663706","https://www.google.com/maps/place/OZ+GRILL/data=!4m2!3m1!1s0x47e0dfa42f2761af:0x5ebc90c37889f43e"
"Ottoman Palace","49.4103632,1.0716524","85 Av. des Canadiens, 76300 Sotteville-lès-Rouen, France","Turkish restaurant","+33 2 35 15 33 45","http://www.ottomanpalace-rouen.fr/?utm_medium=referral&utm_source=gmb&utm_campaign=lnk-gmb",3.8,,"C36C+4M Sotteville-lès-Rouen, France","https://maps.google.com/maps?q=+%4049.4103632,1.0716524","https://www.google.com/maps/place/Ottoman+Palace/data=!4m2!3m1!1s0x47e0de3a3b737d67:0xf333deff3f5609f6"
"Ozalis Resto - Kebab au feu de bois, Pain & frite fait maison - Naan, Pizzas, Tacos, Burgers - Rouen","49.42688,1.0765457","104 Rue Saint-Julien, 76100 Rouen, France","Restaurant","+33 9 87 57 42 88","https://www.ozalisresto.fr/",4.2,201,"C3GG+QJ Rouen, France","https://maps.google.com/maps?q=+%4049.42688,1.0765457","https://www.google.com/maps/place/Ozalis+Resto+-+Kebab+au+feu+de+bois,+Pain+%26+frite+fait+maison+-+Naan,+%0APizzas,+Tacos,+Burgers+-+Rouen/data=!4m2!3m1!1s0x47e0df71f963a94f:0x3cf944da00b28d63"
"Ozdou","49.4126801,1.1391664","120 Rte de Paris, 76240 Le Mesnil-Esnard, France","Kebab shop","+33 2 35 65 05 88",,4.1,237,"C47Q+3M Le Mesnil-Esnard, France","https://maps.google.com/maps?q=+%4049.4126801,1.1391664","https://www.google.com/maps/place/Ozdou/data=!4m2!3m1!1s0x47e0dece5aa022d1:0x7e4310a9c23383d6"
"Planet's food 76","49.3884566,1.0242813","3 Rue de Saint-Etienne, 76650 Petit-Couronne, France","Fast food restaurant","+33 9 65 38 52 23",,3.7,136,"92QF+9P Petit-Couronne, France","https://maps.google.com/maps?q=+%4049.3884566,1.0242813","https://www.google.com/maps/place/Planet's+food+76/data=!4m2!3m1!1s0x47e0e129c733ab7b:0xc138c482fb4e91c7"
"Quick Grill","49.4429661,1.0918162","8 Rue Percière, 76000 Rouen, France","Sandwich shop","+33 9 80 31 28 59",,4.5,,"C3VR+5P Rouen, France","https://maps.google.com/maps?q=+%4049.4429661,1.0918162","https://www.google.com/maps/place/Quick+Grill/data=!4m2!3m1!1s0x47e0ddd8205805b5:0x4c37f61761d1bce7"
"Restaurant ""AU FEU 2 BOIS (Royal76)""","49.3995292,1.0746657","93 Rue du Madrillet, 76800 Saint-Étienne-du-Rouvray, France","Turkish restaurant","+33 2 76 01 91 42","http://www.aufeu2bois.fr/",4,,"93XF+RV Saint-Étienne-du-Rouvray, France","https://maps.google.com/maps?q=+%4049.3995292,1.0746657","https://www.google.com/maps/place/Restaurant+%22AU+FEU+2+BOIS+(Royal76)%22/data=!4m2!3m1!1s0x47e0dfcb14c96eb7:0x35e733725f32ca8c"
"Royal Kebab","49.4410789,1.1028412","56 Rue Armand Carrel, 76000 Rouen, France","Kebab shop","+33 7 82 21 85 09","https://leroyalrouen.com/",3.3,,"C4R3+C4 Rouen, France","https://maps.google.com/maps?q=+%4049.4410789,1.1028412","https://www.google.com/maps/place/Royal+Kebab/data=!4m2!3m1!1s0x47e0de7ffe6fffff:0x5165440ae78cb976"
"Snack Deville","49.4758325,1.0483733","526 Rte de Dieppe, 76250 Déville-lès-Rouen, France","Fast food restaurant","+33 2 35 74 44 23",,4.2,493,"F2GX+88 Déville-lès-Rouen, France","https://maps.google.com/maps?q=+%4049.4758325,1.0483733","https://www.google.com/maps/place/Snack+Deville/data=!4m2!3m1!1s0x47e0e7709c410fbd:0x3a4671db6cd8b6b5"
"Station Grill 76","49.4415986,1.0835242","24 Bd des Belges, 76000 Rouen, France","Restaurant","+33 9 88 59 30 38","https://www.station-grill76.fr/",4.4,,"C3RM+JC Rouen, France","https://maps.google.com/maps?q=+%4049.4415986,1.0835242","https://www.google.com/maps/place/Station+Grill+76/data=!4m2!3m1!1s0x47e0dd0001ae47ab:0xdacc042f4edec154"
